dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1895-07-01,26.864,0.537,Ipoh,Malaysia,4.02N,100.45E
1912-06-01,16.391,0.535,Rubtsovsk,Russia,52.24N,81.46E
1960-12-01,4.314,0.366,Pécs,Hungary,45.81N,17.31E
1825-04-01,9.408,3.1260000000000003,Essen,Germany,50.63N,6.34E
2006-12-01,15.358,0.2019999999999999,Chaozhou,China,23.31N,116.21E
1967-12-01,16.907,0.297,Jaunpur,India,26.52N,82.39E
2007-01-01,-18.324,0.6629999999999999,Altay,China,47.42N,88.82E
1982-02-01,19.006,0.324,Villa Nueva,Guatemala,15.27N,90.83W
1744-02-01,,,Waterbury,United States,40.99N,72.43W
1928-10-01,25.866,0.4579999999999999,Managua,Nicaragua,12.05N,85.48W
1998-07-01,24.815,0.213,Taganrog,Russia,47.42N,39.08E
1893-10-01,23.661,0.959,Asyut,Egypt,26.52N,30.45E
1900-04-01,20.606,1.109,Ibirité,Brazil,20.09S,44.36W
1893-10-01,24.156,0.481,Bhadravati,India,13.66N,75.14E
1908-05-01,21.412,0.45,Alexandria,Egypt,31.35N,30.16E
1913-10-01,13.824000000000002,0.616,Terni,Italy,42.59N,13.09E
1984-03-01,10.711,0.19,Little Rock,United States,34.56N,91.46W
2011-08-01,18.531,0.207,Olsztyn,Poland,53.84N,20.45E
1918-02-01,25.53,1.004,Tanete,Indonesia,5.63S,119.46E
1920-07-01,7.346999999999999,0.648,Los Angeles,Chile,37.78S,73.22W
1823-09-01,15.941,1.538,Belgrade,Serbia,44.20N,20.12E
1950-10-01,18.315,0.568,Oaxaca,Mexico,16.87N,97.12W
1982-02-01,0.1200000000000001,0.159,Verona,Italy,45.81N,10.38E
1900-11-01,-3.504,0.47,Balashikha,Russia,55.45N,36.85E
1886-11-01,20.539,1.194,Hòa Bình,Vietnam,20.09N,105.78E
1852-09-01,24.867,1.272,Barquisimeto,Venezuela,10.45N,69.55W
1937-11-01,19.801,0.647,Sabha,Libya,26.52N,14.33E
1957-09-01,27.352,0.389,Nanded,India,18.48N,77.75E
2001-07-01,25.121,0.723,Padalarang,Indonesia,7.23S,107.84E
1828-08-01,21.017,1.574,Cúcuta,Colombia,7.23N,72.16W
1851-05-01,12.62,1.121,Wencheng,China,37.78N,122.03E
2013-06-01,26.935,0.3829999999999999,Taman,Indonesia,7.23S,109.46E
1863-11-01,24.318,1.481,Bacoor,Philippines,15.27N,120.83E
1819-05-01,13.814,2.388,Wuppertal,Germany,50.63N,6.34E
1844-06-01,20.158,1.207,Forlì,Italy,44.20N,11.18E
1961-06-01,26.104000000000006,0.288,Shaki,Nigeria,8.84N,4.05E
1836-03-01,14.943,2.415,Iskenderun,Turkey,36.17N,35.80E
1888-07-01,27.078000000000003,1.127,Athens,Greece,37.78N,24.41E
1849-11-01,6.710999999999999,1.964,Konan,Japan,36.17N,137.24E
1984-04-01,21.619,0.135,Ribeirão Das Neves,Brazil,20.09S,44.36W
1846-06-01,,,Fernando De La Mora,Paraguay,24.92S,56.75W
1915-10-01,1.665,0.755,Petropavlovsk Kamchatskiy,Russia,53.84N,159.55E
1930-10-01,22.131,1.054,Ribeirão Das Neves,Brazil,20.09S,44.36W
1950-01-01,16.274,0.243,Ghazipur,India,24.92N,83.35E
2009-03-01,24.228,0.968,Nouakchott,Mauritania,18.48N,15.21W
1789-10-01,0.371,3.017,Sterlitamak,Russia,53.84N,55.91E
1997-11-01,9.108,0.313,Arak,Iran,34.56N,50.59E
2006-05-01,32.617999999999995,0.321,Sholapur,India,18.48N,76.06E
1939-12-01,26.362,0.345,Kumba,Cameroon,4.02N,8.84E
1832-10-01,,,Phra Pradaeng,Thailand,13.66N,99.91E
1884-04-01,28.183000000000003,0.698,Kalyan,India,20.09N,73.36E
1953-12-01,20.986,0.499,Bidar,India,18.48N,77.75E
1775-04-01,7.725,2.087,Sunderland,United Kingdom,55.45N,2.83W
1944-10-01,27.251,1.297,Jombang,Indonesia,7.23S,112.70E
1955-03-01,-5.4,0.092,Zelenograd,Russia,55.45N,36.85E
1804-05-01,14.741,1.659,Prizren,Serbia,42.59N,21.82E
1965-02-01,22.954,0.284,Mandalay,Burma,21.70N,96.06E
1818-08-01,17.308,1.831,Brussels,Belgium,50.63N,3.80E
1867-09-01,18.54,2.004,Modesto,United States,37.78N,120.00W
1993-08-01,28.337000000000003,0.35,Mbour,Senegal,13.66N,17.34W
1854-11-01,20.866,1.565,Jabalpur,India,23.31N,79.51E
1914-06-01,13.105,0.706,Kitami,Japan,44.20N,143.11E
1993-07-01,25.979,0.25,Taman,Indonesia,7.23S,109.46E
1958-05-01,32.980000000000004,0.747,Chas,India,23.31N,86.50E
1784-04-01,8.562000000000001,8.39,Timisoara,Romania,45.81N,21.92E
1910-11-01,19.944000000000003,0.3389999999999999,Khanpur,Pakistan,28.13N,70.00E
1944-04-01,27.241,0.175,Abohar,India,29.74N,73.85E
1894-06-01,13.536,1.402,São Paulo,Brazil,23.31S,46.31W
1848-10-01,8.818999999999997,0.804,Ratisbon,Germany,49.03N,12.24E
1872-10-01,26.812,0.523,Carúpano,Venezuela,10.45N,63.00W
1983-06-01,25.835,0.38,Taunggyi,Burma,20.09N,97.25E
1886-08-01,10.800999999999998,0.782,Midrand,South Africa,26.52S,28.66E
1952-09-01,7.055,0.603,Puerto Montt,Chile,40.99S,72.43W
1894-11-01,9.717,0.4589999999999999,Kiryu,Japan,36.17N,139.23E
1820-06-01,25.621,1.722,Jackson,United States,32.95N,90.96W
1970-03-01,7.1770000000000005,0.286,Neyshabur,Iran,36.17N,59.67E
1834-01-01,4.908,2.568,Krefeld,Germany,50.63N,6.34E
1778-12-01,11.643,2.498,Cadiz,Spain,36.17N,5.97W
1958-01-01,1.064,0.445,Bonn,Germany,50.63N,6.34E
1857-08-01,29.615,1.499,Luxor,Egypt,26.52N,32.24E
1974-01-01,0.434,0.43,Iruma,Japan,36.17N,139.23E
2013-08-01,8.729000000000001,0.46,Salta,Argentina,24.92S,65.62W
1893-08-01,27.200000000000006,0.746,Hsichih,Taiwan,24.92N,122.36E
1833-07-01,23.911,2.122,Wuda,China,39.38N,106.13E
1931-04-01,5.456,0.325,Ostrava,Czech Republic,50.63N,19.01E
1883-08-01,27.166,0.519,Huangpu,China,23.31N,112.72E
1882-08-01,16.918000000000006,0.895,Xichang,China,28.13N,102.73E
1887-06-01,27.388,0.7070000000000001,My Tho,Vietnam,10.45N,105.55E
1913-08-01,21.679,1.739,Amadora,Portugal,39.38N,8.32W
1876-08-01,12.965,1.523,Concordia,Argentina,31.35S,58.43W
1924-03-01,22.046,0.385,Purnia,India,26.52N,87.76E
1880-11-01,24.458,1.528,Bata,Equatorial Guinea,2.41N,10.45E
1943-01-01,16.387999999999998,0.6809999999999999,Las Palmas,Spain,28.13N,15.45W
1945-06-01,23.554,0.6940000000000001,Reggio Di Calabria,Italy,37.78N,16.27E
1955-04-01,28.457,0.243,Pimpri,India,18.48N,74.37E
1801-06-01,14.157,2.212,Walbrzych,Poland,50.63N,16.48E
1980-05-01,12.023,0.168,Midrand,South Africa,26.52S,28.66E
1913-01-01,15.362,0.722,Deoria,India,26.52N,84.18E
1865-09-01,24.708,1.069,Surt,Libya,31.35N,16.96E
1954-10-01,15.105,0.317,Shangqiu,China,34.56N,114.81E
1965-12-01,-1.539,0.519,Bydgoszcz,Poland,53.84N,17.73E
1998-06-01,31.69,0.235,Kamarhati,India,23.31N,88.25E
1873-08-01,14.173,0.95,Santa Cruz Do Sul,Brazil,29.74S,51.69W
1897-08-01,26.021,0.66,Santarém,Brazil,2.41S,55.45W
1874-07-01,23.595,0.915,Hubli,India,15.27N,75.83E
1754-05-01,21.608,2.814,Tripoli,Libya,32.95N,12.45E
1992-05-01,26.222,0.7959999999999999,Asmara,Eritrea,15.27N,39.17E
1855-01-01,9.266,2.154,Jaramana,Syria,32.95N,35.43E
1812-02-01,-19.129,3.007,Temirtau,Kazakhstan,50.63N,72.25E
1877-04-01,7.337999999999999,1.235,Erlangen,Germany,49.03N,9.80E
1980-09-01,13.656,0.221,Bloemfontein,South Africa,29.74S,25.85E
1866-04-01,7.605,0.8490000000000001,Kerch,Ukraine,45.81N,35.77E
2011-01-01,23.588,0.45,Uberlândia,Brazil,18.48S,49.01W
1930-06-01,28.307,0.532,Beihai,China,21.70N,109.90E
2009-06-01,28.302,0.364,Ziguinchor,Senegal,12.05N,16.44W
1753-03-01,0.6679999999999999,3.414,Green Bay,United States,44.20N,87.20W
1874-06-01,21.664,1.453,Numazu,Japan,34.56N,138.16E
1910-03-01,19.569000000000003,0.435,Hoshiarpur,India,31.35N,75.39E
1936-02-01,2.2710000000000004,0.198,Amagasaki,Japan,34.56N,136.22E
1971-11-01,24.396,0.389,Lira,Uganda,2.41N,32.95E
1970-01-01,14.892,0.498,Hathras,India,28.13N,77.27E
1894-03-01,19.875,0.498,São José Dos Pinhais,Brazil,24.92S,49.66W
1955-09-01,16.491999999999994,0.511,Chiclayo,Peru,7.23S,80.27W
1940-06-01,19.637,0.524,Pleven,Bulgaria,44.20N,24.60E
1899-12-01,6.884,0.596,Toyonaka,Japan,34.56N,136.22E
1953-03-01,18.539,0.35,Queenstown,South Africa,31.35S,26.39E
1979-05-01,16.895,0.3329999999999999,Piatra Neamt,Romania,47.42N,27.24E
1846-05-01,29.91,1.636,Sitapur,India,28.13N,80.91E
1996-11-01,10.675,0.341,Osmaniye,Turkey,37.78N,36.61E
1954-07-01,19.981,0.252,Petropavl,Kazakhstan,55.45N,68.03E
1925-07-01,25.035,0.434,Accra,Ghana,5.63N,0.00W
1891-10-01,22.305,0.8590000000000001,Manta,Ecuador,0.80S,81.16W
1794-04-01,13.207,2.41,Çorlu,Turkey,40.99N,27.69E
1981-08-01,20.773000000000003,0.261,Nizhnekamsk,Russia,55.45N,51.02E
1925-11-01,20.68,0.6759999999999999,São Vicente,Brazil,23.31S,46.31W
1996-05-01,20.648000000000003,0.247,Hangzhou,China,29.74N,120.00E
2010-08-01,30.217,0.4429999999999999,Moga,India,31.35N,75.39E
1942-08-01,28.429,0.275,Narsingdi,Bangladesh,23.31N,90.00E
1938-01-01,28.436,0.531,Bohicon,Benin,7.23N,2.43E
1880-02-01,-2.286,1.744,Çorum,Turkey,40.99N,34.08E
1890-06-01,18.897,0.649,Torrejón De Ardoz,Spain,40.99N,4.26W
1987-10-01,26.239,0.316,Ikare,Nigeria,7.23N,5.68E
1945-09-01,24.938,0.321,Villavicencio,Colombia,4.02N,73.13W
1964-10-01,26.134,0.498,Valencia,Venezuela,10.45N,67.91W
1904-11-01,22.623,0.711,Rio De Janeiro,Brazil,23.31S,42.82W
2004-02-01,26.442,0.308,Meycauayan,Philippines,15.27N,120.83E
1843-07-01,26.579,1.525,Luzhou,China,29.74N,105.23E
1744-02-01,,,Halifax,Canada,44.20N,62.61W
1799-02-01,16.477999999999998,2.42,Firozabad,India,26.52N,78.81E
1921-07-01,25.668000000000003,0.525,Savannah,United States,31.35N,81.05W
1859-01-01,5.424,0.919,Eastbourne,United Kingdom,50.63N,1.27E
1847-06-01,19.807,1.2819999999999998,Taganrog,Russia,47.42N,39.08E
1992-03-01,18.07,0.35,Querétaro,Mexico,20.09N,100.66W
1760-11-01,7.846999999999999,2.43,Cary,United States,36.17N,79.56W
2006-06-01,27.358,0.283,Offa,Nigeria,8.84N,4.05E
1839-09-01,11.85,1.443,Lanzhou,China,36.17N,103.43E
2011-01-01,17.363,0.624,Manama,Bahrain,26.52N,50.15E
1861-06-01,15.296,1.705,Osasco,Brazil,23.31S,46.31W
1905-07-01,27.889,0.483,Luoyang,China,23.31N,114.47E
1974-12-01,26.324,0.1689999999999999,Pamulang,Indonesia,5.63S,106.55E
1925-11-01,12.114,0.308,Amagasaki,Japan,34.56N,136.22E
1826-10-01,11.567,2.879,Ruse,Bulgaria,44.20N,26.83E
1841-04-01,11.223,2.037,Suita,Japan,34.56N,136.22E
1972-09-01,20.534,0.593,Benguela,Angola,12.05S,13.15E
1934-01-01,24.136,0.405,Garut,Indonesia,7.23S,107.84E
1991-08-01,30.705,0.442,Guaymas,Mexico,28.13N,110.00W
1925-11-01,13.48,0.289,Xiantao,China,29.74N,112.62E
1959-07-01,16.587,0.356,Kadoma,Zimbabwe,18.48S,30.42E
1860-04-01,22.653,2.366,Los Mochis,Mexico,26.52N,109.25W
1876-06-01,26.174,1.306,Pontianak,Indonesia,0.80S,110.09E
1802-07-01,28.268,1.788,Tunis,Tunisia,36.17N,9.94E
1913-06-01,28.47,0.489,Ubon Ratchathani,Thailand,15.27N,104.17E
2003-03-01,27.893,0.173,Maisuru,India,12.05N,77.26E
1852-09-01,8.94,0.889,Seversk,Russia,57.05N,84.10E
1917-06-01,26.692,0.268,Brownsville,United States,26.52N,96.72W
1981-06-01,35.484,0.4039999999999999,Sonipat,India,28.13N,77.27E
1963-10-01,18.075,0.186,Fujinomiya,Japan,34.56N,138.16E
1887-09-01,26.45,0.482,Kuantan,Malaysia,4.02N,103.66E
1963-01-01,-8.213000000000001,0.355,Shakhty,Russia,47.42N,39.08E
1876-10-01,24.592,0.6779999999999999,Subang,Indonesia,7.23S,107.84E
1969-08-01,17.5,0.367,Samara,Russia,53.84N,50.45E
1984-04-01,9.252,0.115,Odawara,Japan,36.17N,139.23E
1979-04-01,17.475,0.336,Zhoucheng,China,24.92N,102.86E
1843-09-01,16.52,1.089,Xinxiang,China,36.17N,113.37E
1964-01-01,-4.132,0.779,Prague,Czech Republic,50.63N,13.94E
1897-04-01,30.536,0.7,Bansbaria,India,23.31N,88.25E
1953-02-01,-17.419,0.396,Tolyatti,Russia,53.84N,50.45E
1925-11-01,11.627,0.609,Norfolk,United States,36.17N,75.58W
1863-07-01,23.784,1.625,Philadelphia,United States,39.38N,74.91W
1839-10-01,6.8980000000000015,1.868,Erzurum,Turkey,39.38N,41.62E
1917-11-01,25.416,0.455,Sukaraja,Indonesia,7.23S,106.22E
1852-05-01,7.100999999999999,1.52,Saint Petersburg,Russia,60.27N,29.19E
1930-01-01,24.347,0.377,Cienfuegos,Cuba,21.70N,80.48W
2004-08-01,21.771,0.244,Jersey City,United States,40.99N,74.56W
2009-11-01,28.841,0.482,Port Blair,India,12.05N,92.05E
1825-02-01,-4.199,1.918,Piatra Neamt,Romania,47.42N,27.24E
1977-07-01,31.305,0.357,Tambaram,India,13.66N,80.09E
1761-05-01,16.28,2.25,Springfield,United States,42.59N,72.00W
1953-07-01,25.213,0.126,Okazaki,Japan,34.56N,136.22E
1873-04-01,11.547,1.375,Coimbra,Portugal,40.99N,8.52W
1871-04-01,26.324,0.946,Karawang,Indonesia,5.63S,106.55E
1888-02-01,23.314,1.041,Itapetininga,Brazil,23.31S,48.06W
1990-04-01,10.678,0.502,Mahabad,Iran,36.17N,45.75E
1826-03-01,-3.95,2.525,Arvada,United States,39.38N,106.13W
1920-08-01,24.818,0.201,Oyama,Japan,36.17N,139.23E
1866-05-01,16.173,2.266,Tottori,Japan,34.56N,134.27E
1920-08-01,27.53,0.487,Yingcheng,China,31.35N,113.09E
1877-03-01,28.445,1.683,Hadejia,Nigeria,12.05N,9.86E
2003-08-01,27.514,0.352,Gainesville,United States,29.74N,83.08W
1928-10-01,26.457,0.233,Sekudai,Malaysia,0.80N,103.66E
